"id","support_contract_line_id/id","create_uid/id","create_date","date","user_id/id","project_id/id","task_id/id","hours","work_summary_type_id/id","name"
"__export__.project_task_work_528021","","__export__.res_users_604","2022-01-08 08:25:40","2022-01-08 08:12:30","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_71258","4.0","__export__.project_task_work_summary_type_30","3./ Program 1 --> Revised Created a simplified version some issues resolved and Tested.   --> Program 2 --> Initially Done. and Tested has 4 classes (Manufacturing, Purchase(Manufacturing), Scrapping(Manufacturing), Product(Manufacturing))  -->  Program 3 --> Initially done and Tested --> Program 4 --> Initially Done and Tested      4./  All 4 Programs pushed to remote GitHub Directory python_exercise_2  5./ Analysis of program 4 and Indexed, Incremental Dictionary Creation, Update, Item Fetching requirements are analysed"
"__export__.project_task_work_528020","","__export__.res_users_604","2022-01-08 08:25:40","2022-01-08 06:06:56","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_71258","0.5","__export__.project_task_work_summary_type_30","4./ Meeting with Project Manager: Program 1 evaluated, readability and functionality Issue raised, Discussed about Program 2 Requirements and Functionality"
"__export__.project_task_work_527749","","__export__.res_users_604","2022-01-07 14:09:15","2022-01-07 14:04:11","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_71258","1.5","__export__.project_task_work_summary_type_30","2./ Program 1  --> Initially Done   --> GitHub Repository Created  -->PyCharm Project Created  --> Problem Analysed, Problem Defined, Logic Building, Coding, Testing   --> Some Additional Functionality added   --> Program 1 pushed to remote Repository"
"__export__.project_task_work_527750","","__export__.res_users_604","2022-01-07 14:09:15","2022-01-07 14:02:17","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_71258","0.25","__export__.project_task_work_summary_type_39","Previous Task work summary Listed and Described"
"__export__.project_task_work_527751","","__export__.res_users_604","2022-01-07 14:09:15","2022-01-07 13:59:12","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_71258","0.75","__export__.project_task_work_summary_type_30","1./ Meeting with Project Manager: Explained the Task, GitHub Repository name, Do's and Don't in process of completing task"
"__export__.project_task_work_527646","","__export__.res_users_604","2022-01-07 12:16:15","2022-01-07 12:09:45","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","2.5","__export__.project_task_work_summary_type_30","3./ As per Guidance given in the Meeting I have fixed Errors, Readability and Efficiency Issues in the Program.  Some New Concepts are learned and Implemented on the programs like -->  all(), any(), sum(), reduce(), zip(), Dictionary Comprehension, sorted(), itemgetter(), loop through key:val pair using items(), Multiple Inheritance       x==> Task Completed"
"__export__.project_task_work_527559","","__export__.res_users_604","2022-01-07 09:08:28","2022-01-07 09:07:31","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","0.166666666667","__export__.project_task_work_summary_type_39","Listed and Described the Task"
"__export__.project_task_work_527557","","__export__.res_users_604","2022-01-07 09:06:46","2022-01-07 08:55:24","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","1.75","__export__.project_task_work_summary_type_30","2./ Meeting with Project Manager: Programs is reviewed by PM, Issues with Code Readability and Code Efficiency in my code is discussed and highlighted,  --> Suggested things like (all() fq, sum() fq, dict comprehension, diff bet list() and copy(), sorted() and itemgetter(), and use of dict.items() in for loop), --> Suggested to implement Multiple inheritance in Order, Product and Customer program where Order should inherit Customer and Product class."
"__export__.project_task_work_527558","","__export__.res_users_604","2022-01-07 09:06:46","2022-01-07 08:50:54","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","2.0","__export__.project_task_work_summary_type_30","1./ Revised Git and GitHub concepts like branch, areas like (Untracked files, Modified files, Staging area, Local Repository, Remote Repository), Commands like (checkout, branch, clone, log, add, commit)"
"__export__.project_task_work_527354","","__export__.res_users_604","2022-01-06 13:39:33","2022-01-06 13:27:34","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","8.5","__export__.project_task_work_summary_type_30","1./ Created new GitHub Repository (python_exercise_1),  2./ Python Exercise 1 : All 38 programs of the exercise are done but may need to revise if some of them can be optimised or can be able to shorten by using functions like lambda, filter, map, reduce, zip;  -> I have pushed all the programs of python exercise 1 into GitHub Repository python_exercise_1 on branch shyamg;  -> Most Frequent concepts I have used and covered in programs are: variable, datatypes, Set, Tuple, List, Dictionary, List Comprehention, Arbitary Arguments, List or Tuple inside Dictionary, Nested Dictionaries, Looping Through Iterable objects(list, tuple, set etc..), Various Methods of accessing dictionary and Iterable object's items, Functions, Lambda Functions, Filter Function, Map Function, Range Function, Inheritance ( Multi Level Inheritance)"
